"Date Recorded","Currently Processing", "Wait Time (months)"
"Sun Dec 31 2017","Fri Apr 21 2017","8.5"
"Mon Jan 01 2018","Fri Apr 21 2017","8.5"
"Wed Jan 03 2018","Fri Apr 21 2017","8.6"
"Fri Jan 05 2018","Fri Apr 21 2017","8.7"
"Tue Jan 09 2018","Fri Apr 21 2017","8.8"
"Thu Jan 11 2018","Fri Apr 21 2017","8.8"
"Tue Jan 16 2018","Fri Apr 21 2017","9.0"
"Tue Jan 23 2018","Fri Apr 21 2017","9.3"
"Wed Jan 24 2018","Fri Apr 21 2017","9.3"
"Thu Jan 25 2018","Fri Apr 21 2017","9.3"
"Sat Feb 10 2018","Wed May 24 2017","8.8"
"Thu Feb 15 2018","Wed Jun 14 2017","8.2"
"Fri Feb 16 2018","Wed Jun 14 2017","8.2"
