"Date Recorded","Currently Processing", "Wait Time (months)"
"Sun Dec 31 2017","Sun Mar 19 2017","9.6"
"Mon Jan 01 2018","Sun Mar 19 2017","9.6"
"Wed Jan 03 2018","Sun Mar 19 2017","9.7"
"Fri Jan 05 2018","Sun Mar 19 2017","9.8"
"Tue Jan 09 2018","Sun Mar 19 2017","9.9"
"Thu Jan 11 2018","Sun Mar 19 2017","9.9"
"Tue Jan 16 2018","Sun Mar 19 2017","10.1"
"Tue Jan 23 2018","Sun Mar 19 2017","10.4"
"Wed Jan 24 2018","Sun Mar 19 2017","10.4"
"Thu Jan 25 2018","Sun Mar 19 2017","10.4"
"Sat Feb 10 2018","Tue Apr 04 2017","10.4"
"Thu Feb 15 2018","Mon May 01 2017","9.7"
"Fri Feb 16 2018","Mon May 01 2017","9.7"
