"Date Recorded","Currently Processing", "Wait Time (months)"
"Sun Dec 31 2017","Tue Apr 18 2017","8.6"
"Mon Jan 01 2018","Tue Apr 18 2017","8.6"
"Wed Jan 03 2018","Tue Apr 18 2017","8.7"
"Fri Jan 05 2018","Tue Apr 18 2017","8.8"
"Tue Jan 09 2018","Tue Apr 18 2017","8.9"
"Thu Jan 11 2018","Tue Apr 18 2017","8.9"
"Tue Jan 16 2018","Tue Apr 18 2017","9.1"
"Tue Jan 23 2018","Tue Apr 18 2017","9.4"
"Wed Jan 24 2018","Tue Apr 18 2017","9.4"
"Thu Jan 25 2018","Tue Apr 18 2017","9.4"
"Sat Feb 10 2018","Thu May 18 2017","9.0"
"Thu Feb 15 2018","Sun Jun 18 2017","8.1"
"Fri Feb 16 2018","Sun Jun 18 2017","8.1"
