"Date Recorded","Currently Processing", "Wait Time (months)"
"Sun Dec 31 2017","Wed Mar 22 2017","9.5"
"Mon Jan 01 2018","Wed Mar 22 2017","9.5"
"Wed Jan 03 2018","Wed Mar 22 2017","9.6"
"Fri Jan 05 2018","Wed Mar 22 2017","9.7"
"Tue Jan 09 2018","Wed Mar 22 2017","9.8"
"Thu Jan 11 2018","Wed Mar 22 2017","9.8"
"Tue Jan 16 2018","Wed Mar 22 2017","10.0"
"Tue Jan 23 2018","Wed Mar 22 2017","10.3"
"Wed Jan 24 2018","Wed Mar 22 2017","10.3"
"Thu Jan 25 2018","Wed Mar 22 2017","10.3"
"Sat Feb 10 2018","Fri Apr 14 2017","10.1"
"Thu Feb 15 2018","Fri May 05 2017","9.6"
"Fri Feb 16 2018","Fri May 05 2017","9.6"
