"Date Recorded","Currently Processing", "Wait Time (months)"
"Sun Dec 31 2017","Tue Feb 07 2017","10.9"
"Mon Jan 01 2018","Tue Feb 07 2017","11.0"
"Wed Jan 03 2018","Tue Feb 07 2017","11.0"
"Fri Jan 05 2018","Tue Feb 07 2017","11.1"
"Tue Jan 09 2018","Tue Feb 07 2017","11.2"
"Thu Jan 11 2018","Tue Feb 07 2017","11.3"
"Tue Jan 16 2018","Tue Feb 07 2017","11.5"
"Tue Jan 23 2018","Tue Feb 07 2017","11.7"
"Wed Jan 24 2018","Tue Feb 07 2017","11.7"
"Thu Jan 25 2018","Tue Feb 07 2017","11.7"
"Sat Feb 10 2018","Sat Feb 18 2017","11.9"
"Thu Feb 15 2018","Tue Mar 07 2017","11.5"
"Fri Feb 16 2018","Tue Mar 07 2017","11.5"
