"Date Recorded","Currently Processing", "Wait Time (months)"
"Sun Dec 31 2017","Fri May 19 2017","7.5"
"Mon Jan 01 2018","Fri May 19 2017","7.6"
"Wed Jan 03 2018","Fri May 19 2017","7.7"
"Fri Jan 05 2018","Fri May 19 2017","7.7"
"Tue Jan 09 2018","Fri May 19 2017","7.9"
"Thu Jan 11 2018","Fri May 19 2017","7.9"
"Tue Jan 16 2018","Fri May 19 2017","8.1"
"Tue Jan 23 2018","Fri May 19 2017","8.3"
"Wed Jan 24 2018","Fri May 19 2017","8.4"
"Thu Jan 25 2018","Fri May 19 2017","8.4"
"Sat Feb 10 2018","Sat Jun 17 2017","8.0"
"Thu Feb 15 2018","Wed Jul 26 2017","6.8"
"Fri Feb 16 2018","Wed Jul 26 2017","6.8"
