"Date Recorded","Currently Processing", "Wait Time (months)"
"Sun Dec 31 2017","Tue Sep 20 2016","15.6"
"Mon Jan 01 2018","Tue Sep 20 2016","15.6"
"Wed Jan 03 2018","Tue Sep 20 2016","15.7"
"Fri Jan 05 2018","Tue Sep 20 2016","15.8"
"Tue Jan 09 2018","Tue Sep 20 2016","15.9"
"Thu Jan 11 2018","Tue Sep 20 2016","15.9"
"Tue Jan 16 2018","Tue Sep 20 2016","16.1"
"Tue Jan 23 2018","Tue Sep 20 2016","16.4"
"Wed Jan 24 2018","Tue Sep 20 2016","16.4"
"Thu Jan 25 2018","Tue Sep 20 2016","16.4"
"Sat Feb 10 2018","Sun Oct 02 2016","16.6"
