"Date Recorded","Currently Processing", "Wait Time (months)"
"Sun Dec 31 2017","Tue Nov 15 2016","13.7"
"Mon Jan 01 2018","Tue Nov 15 2016","13.8"
"Wed Jan 03 2018","Tue Nov 15 2016","13.8"
"Fri Jan 05 2018","Tue Nov 15 2016","13.9"
"Tue Jan 09 2018","Tue Nov 15 2016","14.0"
"Thu Jan 11 2018","Tue Nov 15 2016","14.1"
"Tue Jan 16 2018","Tue Nov 15 2016","14.3"
"Tue Jan 23 2018","Tue Nov 15 2016","14.5"
"Wed Jan 24 2018","Tue Nov 15 2016","14.5"
"Thu Jan 25 2018","Tue Nov 15 2016","14.5"
"Sat Feb 10 2018","Thu Nov 17 2016","15.0"
