"Date Recorded","Currently Processing", "Wait Time (months)"
"Sun Dec 31 2017","Sun Jan 08 2017","11.9"
"Mon Jan 01 2018","Sun Jan 08 2017","12.0"
"Wed Jan 03 2018","Sun Jan 08 2017","12.0"
"Fri Jan 05 2018","Sun Jan 08 2017","12.1"
"Tue Jan 09 2018","Sun Jan 08 2017","12.2"
"Thu Jan 11 2018","Sun Jan 08 2017","12.3"
"Tue Jan 16 2018","Sun Jan 08 2017","12.5"
"Tue Jan 23 2018","Sun Jan 08 2017","12.7"
"Wed Jan 24 2018","Sun Jan 08 2017","12.7"
"Thu Jan 25 2018","Sun Jan 08 2017","12.7"
"Sat Feb 10 2018","Fri Feb 17 2017","12.0"
"Thu Feb 15 2018","Mon Feb 20 2017","12.0"
"Fri Feb 16 2018","Mon Feb 20 2017","12.0"
