"Date Recorded","Currently Processing", "Wait Time (months)"
"Sun Dec 31 2017","Fri Jan 06 2017","12.0"
"Mon Jan 01 2018","Fri Jan 06 2017","12.0"
"Wed Jan 03 2018","Fri Jan 06 2017","12.1"
"Fri Jan 05 2018","Fri Jan 06 2017","12.2"
"Tue Jan 09 2018","Fri Jan 06 2017","12.3"
"Thu Jan 11 2018","Fri Jan 06 2017","12.3"
"Tue Jan 16 2018","Fri Jan 06 2017","12.5"
"Tue Jan 23 2018","Fri Jan 06 2017","12.8"
"Wed Jan 24 2018","Fri Jan 06 2017","12.8"
"Thu Jan 25 2018","Fri Jan 06 2017","12.8"
"Sat Feb 10 2018","Tue Mar 07 2017","11.4"
"Thu Feb 15 2018","Sun Apr 02 2017","10.7"
"Fri Feb 16 2018","Sun Apr 02 2017","10.7"
