"Date Recorded","Currently Processing", "Wait Time (months)"
"Sun Dec 31 2017","Tue Apr 11 2017","8.8"
"Mon Jan 01 2018","Tue Apr 11 2017","8.9"
"Wed Jan 03 2018","Tue Apr 11 2017","8.9"
"Fri Jan 05 2018","Tue Apr 11 2017","9.0"
"Tue Jan 09 2018","Tue Apr 11 2017","9.1"
"Thu Jan 11 2018","Tue Apr 11 2017","9.2"
"Tue Jan 16 2018","Tue Apr 11 2017","9.4"
"Tue Jan 23 2018","Tue Apr 11 2017","9.6"
"Wed Jan 24 2018","Tue Apr 11 2017","9.6"
"Thu Jan 25 2018","Tue Apr 11 2017","9.7"
"Sat Feb 10 2018","Wed May 24 2017","8.8"
