"Date Recorded","Currently Processing", "Wait Time (months)"
"Sun Dec 31 2017","Sun Oct 30 2016","14.2"
"Mon Jan 01 2018","Sun Oct 30 2016","14.3"
"Wed Jan 03 2018","Sun Oct 30 2016","14.4"
"Fri Jan 05 2018","Sun Oct 30 2016","14.4"
"Tue Jan 09 2018","Sun Oct 30 2016","14.6"
"Thu Jan 11 2018","Sun Oct 30 2016","14.6"
"Tue Jan 16 2018","Sun Oct 30 2016","14.8"
"Tue Jan 23 2018","Sun Oct 30 2016","15.0"
"Wed Jan 24 2018","Sun Oct 30 2016","15.1"
"Thu Jan 25 2018","Sun Oct 30 2016","15.1"
"Sat Feb 10 2018","Thu Dec 08 2016","14.3"
"Thu Feb 15 2018","Fri Dec 16 2016","14.2"
"Fri Feb 16 2018","Fri Dec 16 2016","14.2"
