"Date Recorded","Currently Processing", "Wait Time (months)"
"Sun Dec 31 2017","Sat Dec 17 2016","12.6"
"Mon Jan 01 2018","Sat Dec 17 2016","12.7"
"Wed Jan 03 2018","Sat Dec 17 2016","12.8"
"Fri Jan 05 2018","Sat Dec 17 2016","12.8"
"Tue Jan 09 2018","Sat Dec 17 2016","13.0"
"Thu Jan 11 2018","Sat Dec 17 2016","13.0"
"Tue Jan 16 2018","Sat Dec 17 2016","13.2"
"Tue Jan 23 2018","Sat Dec 17 2016","13.4"
"Wed Jan 24 2018","Sat Dec 17 2016","13.5"
"Thu Jan 25 2018","Sat Dec 17 2016","13.5"
"Sat Feb 10 2018","Thu Jan 05 2017","13.4"
"Thu Feb 15 2018","Tue Jan 31 2017","12.7"
"Fri Feb 16 2018","Tue Jan 31 2017","12.7"
