"Date Recorded","Currently Processing", "Wait Time (months)"
"Sun Dec 31 2017","Thu Feb 23 2017","10.4"
"Mon Jan 01 2018","Thu Feb 23 2017","10.4"
"Wed Jan 03 2018","Thu Feb 23 2017","10.5"
"Fri Jan 05 2018","Thu Feb 23 2017","10.6"
"Tue Jan 09 2018","Thu Feb 23 2017","10.7"
"Thu Jan 11 2018","Thu Feb 23 2017","10.7"
"Tue Jan 16 2018","Thu Feb 23 2017","10.9"
"Tue Jan 23 2018","Thu Feb 23 2017","11.2"
"Wed Jan 24 2018","Thu Feb 23 2017","11.2"
"Thu Jan 25 2018","Thu Feb 23 2017","11.2"
"Sat Feb 10 2018","Wed Mar 15 2017","11.1"
"Thu Feb 15 2018","Thu Apr 06 2017","10.5"
"Fri Feb 16 2018","Thu Apr 06 2017","10.5"
