"Date Recorded","Currently Processing", "Wait Time (months)"
"Sun Dec 31 2017","Tue Nov 08 2016","13.9"
"Mon Jan 01 2018","Tue Nov 08 2016","14.0"
"Wed Jan 03 2018","Tue Nov 08 2016","14.1"
"Fri Jan 05 2018","Tue Nov 08 2016","14.1"
"Tue Jan 09 2018","Tue Nov 08 2016","14.3"
"Thu Jan 11 2018","Tue Nov 08 2016","14.3"
"Tue Jan 16 2018","Tue Nov 08 2016","14.5"
"Tue Jan 23 2018","Tue Nov 08 2016","14.7"
"Wed Jan 24 2018","Tue Nov 08 2016","14.8"
"Thu Jan 25 2018","Tue Nov 08 2016","14.8"
"Sat Feb 10 2018","Wed Nov 30 2016","14.6"
"Thu Feb 15 2018","Mon Dec 12 2016","14.4"
"Fri Feb 16 2018","Mon Dec 12 2016","14.4"
