"Date Recorded","Currently Processing", "Wait Time (months)"
"Sun Dec 31 2017","Mon Oct 03 2016","15.1"
"Mon Jan 01 2018","Mon Oct 03 2016","15.2"
"Wed Jan 03 2018","Mon Oct 03 2016","15.3"
"Fri Jan 05 2018","Mon Oct 03 2016","15.3"
"Tue Jan 09 2018","Mon Oct 03 2016","15.5"
"Thu Jan 11 2018","Mon Oct 03 2016","15.5"
"Tue Jan 16 2018","Mon Oct 03 2016","15.7"
"Tue Jan 23 2018","Mon Oct 03 2016","15.9"
"Wed Jan 24 2018","Mon Oct 03 2016","16.0"
"Thu Jan 25 2018","Mon Oct 03 2016","16.0"
"Sat Feb 10 2018","Mon Nov 07 2016","15.4"
"Thu Feb 15 2018","Tue Nov 29 2016","14.8"
"Fri Feb 16 2018","Tue Nov 29 2016","14.8"
