"Date Recorded","Currently Processing", "Wait Time (months)"
"Sun Dec 31 2017","Wed Jan 04 2017","12.0"
"Mon Jan 01 2018","Wed Jan 04 2017","12.1"
"Wed Jan 03 2018","Wed Jan 04 2017","12.2"
"Fri Jan 05 2018","Wed Jan 04 2017","12.2"
"Tue Jan 09 2018","Wed Jan 04 2017","12.4"
"Thu Jan 11 2018","Wed Jan 04 2017","12.4"
"Tue Jan 16 2018","Wed Jan 04 2017","12.6"
"Tue Jan 23 2018","Wed Jan 04 2017","12.8"
"Wed Jan 24 2018","Wed Jan 04 2017","12.9"
"Thu Jan 25 2018","Wed Jan 04 2017","12.9"
"Sat Feb 10 2018","Sat Jan 14 2017","13.1"
"Thu Feb 15 2018","Mon Feb 06 2017","12.5"
"Fri Feb 16 2018","Mon Feb 06 2017","12.5"
