"Date Recorded","Currently Processing", "Wait Time (months)"
"Sun Dec 31 2017","Sun Nov 27 2016","13.3"
"Mon Jan 01 2018","Sun Nov 27 2016","13.4"
"Wed Jan 03 2018","Sun Nov 27 2016","13.4"
"Fri Jan 05 2018","Sun Nov 27 2016","13.5"
"Tue Jan 09 2018","Sun Nov 27 2016","13.6"
"Thu Jan 11 2018","Sun Nov 27 2016","13.7"
"Tue Jan 16 2018","Sun Nov 27 2016","13.9"
"Tue Jan 23 2018","Sun Nov 27 2016","14.1"
"Wed Jan 24 2018","Sun Nov 27 2016","14.1"
"Thu Jan 25 2018","Sun Nov 27 2016","14.1"
"Sat Feb 10 2018","Sun Dec 25 2016","13.8"
