"Date Recorded","Currently Processing", "Wait Time (months)"
"Sun Dec 31 2017","Sun Apr 16 2017","8.6"
"Mon Jan 01 2018","Sun Apr 16 2017","8.7"
"Wed Jan 03 2018","Sun Apr 16 2017","8.8"
"Fri Jan 05 2018","Sun Apr 16 2017","8.8"
"Tue Jan 09 2018","Sun Apr 16 2017","9.0"
"Thu Jan 11 2018","Sun Apr 16 2017","9.0"
"Tue Jan 16 2018","Sun Apr 16 2017","9.2"
"Tue Jan 23 2018","Sun Apr 16 2017","9.4"
"Wed Jan 24 2018","Sun Apr 16 2017","9.5"
"Thu Jan 25 2018","Sun Apr 16 2017","9.5"
"Sat Feb 10 2018","Sat Apr 22 2017","9.8"
