"Date Recorded","Currently Processing", "Wait Time (months)"
"Sun Dec 31 2017","Fri Feb 17 2017","10.6"
"Mon Jan 01 2018","Fri Feb 17 2017","10.6"
"Wed Jan 03 2018","Fri Feb 17 2017","10.7"
"Fri Jan 05 2018","Fri Feb 17 2017","10.8"
"Tue Jan 09 2018","Fri Feb 17 2017","10.9"
"Thu Jan 11 2018","Fri Feb 17 2017","10.9"
"Tue Jan 16 2018","Fri Feb 17 2017","11.1"
"Tue Jan 23 2018","Fri Feb 17 2017","11.4"
"Wed Jan 24 2018","Fri Feb 17 2017","11.4"
"Thu Jan 25 2018","Fri Feb 17 2017","11.4"
"Sat Feb 10 2018","Sun Mar 12 2017","11.2"
"Thu Feb 15 2018","Mon Mar 27 2017","10.9"
"Fri Feb 16 2018","Mon Mar 27 2017","10.9"
