"Date Recorded","Currently Processing", "Wait Time (months)"
"Sun Dec 31 2017","Tue Jan 24 2017","11.4"
"Mon Jan 01 2018","Tue Jan 24 2017","11.4"
"Wed Jan 03 2018","Tue Jan 24 2017","11.5"
"Fri Jan 05 2018","Tue Jan 24 2017","11.6"
"Tue Jan 09 2018","Tue Jan 24 2017","11.7"
"Thu Jan 11 2018","Tue Jan 24 2017","11.7"
"Tue Jan 16 2018","Tue Jan 24 2017","11.9"
"Tue Jan 23 2018","Tue Jan 24 2017","12.2"
"Wed Jan 24 2018","Tue Jan 24 2017","12.2"
"Thu Jan 25 2018","Tue Jan 24 2017","12.2"
"Sat Feb 10 2018","Sun Mar 19 2017","11.0"
