"Date Recorded","Currently Processing", "Wait Time (months)"
"Sun Dec 31 2017","Fri Dec 09 2016","12.9"
"Mon Jan 01 2018","Fri Dec 09 2016","13.0"
"Wed Jan 03 2018","Fri Dec 09 2016","13.0"
"Fri Jan 05 2018","Fri Dec 09 2016","13.1"
"Tue Jan 09 2018","Fri Dec 09 2016","13.2"
"Thu Jan 11 2018","Fri Dec 09 2016","13.3"
"Tue Jan 16 2018","Fri Dec 09 2016","13.5"
"Tue Jan 23 2018","Fri Dec 09 2016","13.7"
"Wed Jan 24 2018","Fri Dec 09 2016","13.7"
"Thu Jan 25 2018","Fri Dec 09 2016","13.7"
"Sat Feb 10 2018","Fri Jan 06 2017","13.4"
