"Date Recorded","Currently Processing", "Wait Time (months)"
"Sun Dec 31 2017","Sun May 07 2017","7.9"
"Mon Jan 01 2018","Sun May 07 2017","8.0"
"Wed Jan 03 2018","Sun May 07 2017","8.1"
"Fri Jan 05 2018","Sun May 07 2017","8.1"
"Tue Jan 09 2018","Sun May 07 2017","8.3"
"Thu Jan 11 2018","Sun May 07 2017","8.3"
"Tue Jan 16 2018","Sun May 07 2017","8.5"
"Tue Jan 23 2018","Sun May 07 2017","8.7"
"Wed Jan 24 2018","Sun May 07 2017","8.8"
"Thu Jan 25 2018","Sun May 07 2017","8.8"
"Sat Feb 10 2018","Thu May 18 2017","9.0"
"Thu Feb 15 2018","Sat Jul 08 2017","7.4"
"Fri Feb 16 2018","Sat Jul 08 2017","7.4"
