"Date Recorded","Currently Processing", "Wait Time (months)"
"Sun Dec 31 2017","Wed Mar 15 2017","9.7"
"Mon Jan 01 2018","Wed Mar 15 2017","9.8"
"Wed Jan 03 2018","Wed Mar 15 2017","9.8"
"Fri Jan 05 2018","Wed Mar 15 2017","9.9"
"Tue Jan 09 2018","Wed Mar 15 2017","10.0"
"Thu Jan 11 2018","Wed Mar 15 2017","10.1"
"Tue Jan 16 2018","Wed Mar 15 2017","10.3"
"Tue Jan 23 2018","Wed Mar 15 2017","10.5"
"Wed Jan 24 2018","Wed Mar 15 2017","10.5"
"Thu Jan 25 2018","Wed Mar 15 2017","10.6"
"Sat Feb 10 2018","Wed Apr 12 2017","10.2"
