"Date Recorded","Currently Processing", "Wait Time (months)"
"Sun Dec 31 2017","Tue May 16 2017","7.6"
"Mon Jan 01 2018","Tue May 16 2017","7.7"
"Wed Jan 03 2018","Tue May 16 2017","7.8"
"Fri Jan 05 2018","Tue May 16 2017","7.8"
"Tue Jan 09 2018","Tue May 16 2017","8.0"
"Thu Jan 11 2018","Tue May 16 2017","8.0"
"Tue Jan 16 2018","Tue May 16 2017","8.2"
"Tue Jan 23 2018","Tue May 16 2017","8.4"
"Wed Jan 24 2018","Tue May 16 2017","8.5"
"Thu Jan 25 2018","Tue May 16 2017","8.5"
"Sat Feb 10 2018","Wed Jun 07 2017","8.3"
"Thu Feb 15 2018","Fri Jun 23 2017","7.9"
"Fri Feb 16 2018","Fri Jun 23 2017","7.9"
