"Date Recorded","Currently Processing", "Wait Time (months)"
"Sun Dec 31 2017","Sun Oct 09 2016","14.9"
"Mon Jan 01 2018","Sun Oct 09 2016","15.0"
"Wed Jan 03 2018","Sun Oct 09 2016","15.1"
"Fri Jan 05 2018","Sun Oct 09 2016","15.1"
"Tue Jan 09 2018","Sun Oct 09 2016","15.3"
"Thu Jan 11 2018","Sun Oct 09 2016","15.3"
"Tue Jan 16 2018","Sun Oct 09 2016","15.5"
"Tue Jan 23 2018","Sun Oct 09 2016","15.7"
"Wed Jan 24 2018","Sun Oct 09 2016","15.8"
"Thu Jan 25 2018","Sun Oct 09 2016","15.8"
"Sat Feb 10 2018","Wed Dec 14 2016","14.1"
