"Date Recorded","Currently Processing", "Wait Time (months)"
"Sun Dec 31 2017","Sun Apr 02 2017","9.1"
"Mon Jan 01 2018","Sun Apr 02 2017","9.2"
"Wed Jan 03 2018","Sun Apr 02 2017","9.2"
"Fri Jan 05 2018","Sun Apr 02 2017","9.3"
"Tue Jan 09 2018","Sun Apr 02 2017","9.4"
"Thu Jan 11 2018","Sun Apr 02 2017","9.5"
"Tue Jan 16 2018","Sun Apr 02 2017","9.7"
"Tue Jan 23 2018","Sun Apr 02 2017","9.9"
"Wed Jan 24 2018","Sun Apr 02 2017","9.9"
"Thu Jan 25 2018","Sun Apr 02 2017","10.0"
"Sat Feb 10 2018","Wed Apr 26 2017","9.7"
"Thu Feb 15 2018","Tue May 23 2017","9.0"
"Fri Feb 16 2018","Tue May 23 2017","9.0"
