"Date Recorded","Currently Processing", "Wait Time (months)"
"Sun Dec 31 2017","Sun Dec 18 2016","12.6"
"Mon Jan 01 2018","Sun Dec 18 2016","12.7"
"Wed Jan 03 2018","Sun Dec 18 2016","12.7"
"Fri Jan 05 2018","Sun Dec 18 2016","12.8"
"Tue Jan 09 2018","Sun Dec 18 2016","12.9"
"Thu Jan 11 2018","Sun Dec 18 2016","13.0"
"Tue Jan 16 2018","Sun Dec 18 2016","13.2"
"Tue Jan 23 2018","Sun Dec 18 2016","13.4"
"Wed Jan 24 2018","Sun Dec 18 2016","13.4"
"Thu Jan 25 2018","Sun Dec 18 2016","13.4"
"Sat Feb 10 2018","Tue Feb 21 2017","11.8"
"Thu Feb 15 2018","Tue Jan 24 2017","12.9"
"Fri Feb 16 2018","Tue Jan 24 2017","12.9"
