"Date Recorded","Currently Processing", "Wait Time (months)"
"Sun Dec 31 2017","Tue Apr 25 2017","8.3"
"Mon Jan 01 2018","Tue Apr 25 2017","8.4"
"Wed Jan 03 2018","Tue Apr 25 2017","8.5"
"Fri Jan 05 2018","Tue Apr 25 2017","8.5"
"Tue Jan 09 2018","Tue Apr 25 2017","8.7"
"Thu Jan 11 2018","Tue Apr 25 2017","8.7"
"Tue Jan 16 2018","Tue Apr 25 2017","8.9"
"Tue Jan 23 2018","Tue Apr 25 2017","9.1"
"Wed Jan 24 2018","Tue Apr 25 2017","9.2"
"Thu Jan 25 2018","Tue Apr 25 2017","9.2"
"Sat Feb 10 2018","Sun May 28 2017","8.6"
"Thu Feb 15 2018","Sat Jul 08 2017","7.4"
"Fri Feb 16 2018","Sat Jul 08 2017","7.4"
