"Date Recorded","Currently Processing", "Wait Time (months)"
"Sun Dec 31 2017","Mon Feb 13 2017","10.7"
"Mon Jan 01 2018","Mon Feb 13 2017","10.8"
"Wed Jan 03 2018","Mon Feb 13 2017","10.8"
"Fri Jan 05 2018","Mon Feb 13 2017","10.9"
"Tue Jan 09 2018","Mon Feb 13 2017","11.0"
"Thu Jan 11 2018","Mon Feb 13 2017","11.1"
"Tue Jan 16 2018","Mon Feb 13 2017","11.3"
"Tue Jan 23 2018","Mon Feb 13 2017","11.5"
"Wed Jan 24 2018","Mon Feb 13 2017","11.5"
"Thu Jan 25 2018","Mon Feb 13 2017","11.5"
"Sat Feb 10 2018","Mon Feb 06 2017","12.3"
"Thu Feb 15 2018","Sun Mar 12 2017","11.4"
"Fri Feb 16 2018","Sun Mar 12 2017","11.4"
