"Date Recorded","Currently Processing", "Wait Time (months)"
"Sun Dec 31 2017","Sat Mar 04 2017","10.1"
"Mon Jan 01 2018","Sat Mar 04 2017","10.1"
"Wed Jan 03 2018","Sat Mar 04 2017","10.2"
"Fri Jan 05 2018","Sat Mar 04 2017","10.3"
"Tue Jan 09 2018","Sat Mar 04 2017","10.4"
"Thu Jan 11 2018","Sat Mar 04 2017","10.4"
"Tue Jan 16 2018","Sat Mar 04 2017","10.6"
"Tue Jan 23 2018","Sat Mar 04 2017","10.9"
"Wed Jan 24 2018","Sat Mar 04 2017","10.9"
"Thu Jan 25 2018","Sat Mar 04 2017","10.9"
"Sat Feb 10 2018","Wed Mar 22 2017","10.9"
"Thu Feb 15 2018","Sat Apr 08 2017","10.5"
"Fri Feb 16 2018","Sat Apr 08 2017","10.5"
