"Date Recorded","Currently Processing", "Wait Time (months)"
"Sun Dec 31 2017","Thu Apr 06 2017","9.0"
"Mon Jan 01 2018","Thu Apr 06 2017","9.0"
"Wed Jan 03 2018","Thu Apr 06 2017","9.1"
"Fri Jan 05 2018","Thu Apr 06 2017","9.2"
"Tue Jan 09 2018","Thu Apr 06 2017","9.3"
"Thu Jan 11 2018","Thu Apr 06 2017","9.3"
"Tue Jan 16 2018","Thu Apr 06 2017","9.5"
"Tue Jan 23 2018","Thu Apr 06 2017","9.8"
"Wed Jan 24 2018","Thu Apr 06 2017","9.8"
"Thu Jan 25 2018","Thu Apr 06 2017","9.8"
"Sat Feb 10 2018","Mon May 08 2017","9.3"
