"Date Recorded","Currently Processing", "Wait Time (months)"
"Sun Dec 31 2017","Mon Jan 16 2017","11.6"
"Mon Jan 01 2018","Mon Jan 16 2017","11.7"
"Wed Jan 03 2018","Mon Jan 16 2017","11.8"
"Fri Jan 05 2018","Mon Jan 16 2017","11.8"
"Tue Jan 09 2018","Mon Jan 16 2017","12.0"
"Thu Jan 11 2018","Mon Jan 16 2017","12.0"
"Tue Jan 16 2018","Mon Jan 16 2017","12.2"
"Tue Jan 23 2018","Mon Jan 16 2017","12.4"
"Wed Jan 24 2018","Mon Jan 16 2017","12.5"
"Thu Jan 25 2018","Mon Jan 16 2017","12.5"
"Sat Feb 10 2018","Sun Feb 19 2017","11.9"
