"Date Recorded","Currently Processing", "Wait Time (months)"
"Sun Dec 31 2017","Thu Jan 26 2017","11.3"
"Mon Jan 01 2018","Thu Jan 26 2017","11.4"
"Wed Jan 03 2018","Thu Jan 26 2017","11.4"
"Fri Jan 05 2018","Thu Jan 26 2017","11.5"
"Tue Jan 09 2018","Thu Jan 26 2017","11.6"
"Thu Jan 11 2018","Thu Jan 26 2017","11.7"
"Tue Jan 16 2018","Thu Jan 26 2017","11.9"
"Tue Jan 23 2018","Thu Jan 26 2017","12.1"
"Wed Jan 24 2018","Thu Jan 26 2017","12.1"
"Thu Jan 25 2018","Thu Jan 26 2017","12.1"
"Sat Feb 10 2018","Tue Feb 07 2017","12.3"
"Thu Feb 15 2018","Fri Mar 03 2017","11.7"
"Fri Feb 16 2018","Fri Mar 03 2017","11.7"
