"Date Recorded","Currently Processing", "Wait Time (months)"
"Sun Dec 31 2017","Wed Feb 15 2017","10.6"
"Mon Jan 01 2018","Wed Feb 15 2017","10.7"
"Wed Jan 03 2018","Wed Feb 15 2017","10.8"
"Fri Jan 05 2018","Wed Feb 15 2017","10.8"
"Tue Jan 09 2018","Wed Feb 15 2017","11.0"
"Thu Jan 11 2018","Wed Feb 15 2017","11.0"
"Tue Jan 16 2018","Wed Feb 15 2017","11.2"
"Tue Jan 23 2018","Wed Feb 15 2017","11.4"
"Wed Jan 24 2018","Wed Feb 15 2017","11.5"
"Thu Jan 25 2018","Wed Feb 15 2017","11.5"
"Sat Feb 10 2018","Thu Mar 09 2017","11.3"
"Thu Feb 15 2018","Mon Mar 20 2017","11.1"
"Fri Feb 16 2018","Mon Mar 20 2017","11.1"
