"Date Recorded","Currently Processing", "Wait Time (months)"
"Sun Dec 31 2017","Thu Apr 27 2017","8.3"
"Mon Jan 01 2018","Thu Apr 27 2017","8.3"
"Wed Jan 03 2018","Thu Apr 27 2017","8.4"
"Fri Jan 05 2018","Thu Apr 27 2017","8.5"
"Tue Jan 09 2018","Thu Apr 27 2017","8.6"
"Thu Jan 11 2018","Thu Apr 27 2017","8.6"
"Tue Jan 16 2018","Thu Apr 27 2017","8.8"
"Tue Jan 23 2018","Thu Apr 27 2017","9.1"
"Wed Jan 24 2018","Thu Apr 27 2017","9.1"
"Thu Jan 25 2018","Thu Apr 27 2017","9.1"
"Sat Feb 10 2018","Sun Jun 04 2017","8.4"
